xKom,intel i7,Processor,Intel Core i7-10700K,1799,BX8070110700K,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i7-9700,1399,BX80684I79700,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i7-9700F,1129,BX80684I79700F,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i7-10700F,1449,BX8070110700F,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i7-9800X,1649,BX80673I79800X,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i7-9700KF,1309,BX80684I79700KF,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i9-10900X,2999,BX8069510900X,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i5-9600KF,879,BX80684I59600KF,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i5-9600K,1049,BX80684I59600K,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i9-10900K,2349,BX8070110900K,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i9-10900KF,2199,BX8070110900KF,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i3-10300,699,BX8070110300,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel Core i9-10900K Avengers Edition,2349,BX8070110900KA,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel NUC i7-10710U M.2 BOX,2299,BXNUC10I7FNK2,2021-01-16 21:25:04,
xKom,intel i7,Processor,"Intel NUC i7-8559U 2.5""SATA M.2 BOX",1499,BOXNUC8i7BEH2,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel NUC Skull Canyon i7-6770HQ M.2 BOX,2649,BOXNUC6I7KYK2,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel c0r3 i_7 q_3 p4ck,199,,2021-01-16 21:25:04,
xKom,intel i7,Processor,"Intel NUC i3-7100U 2.5""SATA M.2 BOX",969,BLKNUC7i3DNH2E,2021-01-16 21:25:04,
xKom,intel i7,Processor,"Intel NUC i5-7300U 2.5""SATA M.2 BOX",1649,BLKNUC7i5DNH2E,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel NUC i7-8650U M.2 BOX,2199,BLKNUC7i7DNK2E,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel NUC Hades Canyon i7-8705G M.2 BOX,2799,BOXNUC8i7HNK2,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel NUC Hades Canyon i7-8809G M.2 BOX,3399,BOXNUC8I7HVK2,2021-01-16 21:25:04,
